OBJECTID,Id,StrNo,StrName,StrType,Unresolved,Address
496,0, ,ADAM,STREET,,
497,0, ,ADAM,STREET,,
498,0, ,ADAM,STREET,,
499,0, ,ADAM,STREET,,
500,0, ,CLYDE,STREET,,
501,0,71,TENNANT,STREET,,
502,0,69,TENNANT,STREET,,
503,0, ,TENNANT,STREET,,
504,0, ,TENNANT,STREET,,
505,0, ,TENNANT,STREET,,
506,0, ,TENNANT,STREET,,
507,0, ,TENNANT,STREET,,
508,0, ,TENNANT,STREET,,
509,0,77,TENNANT,STREET,,
510,0,79,TENNANT,STREET,,
511,0, ,TENNANT,STREET,,
512,0, ,CALEDON,STREET,,
513,0, ,TENNANT,STREET,,
514,0, ,CALEDON,STREET,,
515,0, ,DE VILLIERS,STREET,,
516,0, ,DE VILLIERS,STREET,,
517,0, ,DE VILLIERS,STREET,,
518,0, ,DE VILLIERS,STREET,,
519,0, ,TENNANT,STREET,,
520,0,169,CALEDON,STREET,,
521,0,171,CALEDON,STREET,,
522,0,173,CALEDON,STREET,,
523,0,175,CALEDON,STREET,,
524,0,177,CALEDON,STREET,,
525,0,179,CALEDON,STREET,,
526,0,181,CALEDON,STREET,,
527,0,183,CALEDON,STREET,,
528,0,185,CALEDON,STREET,,
529,0,187,CALEDON,STREET,,
530,0,189,CALEDON,STREET,,
531,0,191,CALEDON,STREET,,
532,0,193,CALEDON,STREET,,
533,0,195,CALEDON,STREET,,
534,0,197,CALEDON,STREET,,
535,0,199,CALEDON,STREET,,
536,0,203,CALEDON,STREET,,
537,0,30,AYRE,STREET,,
538,0,26,AYRE,STREET,,
539,0,22,AYRE,STREET,,
540,0,20,AYRE,STREET,,
541,0,18,AYRE,STREET,,
542,0,16,AYRE,STREET,,
543,0,14,AYRE,STREET,,
544,0,12,AYRE,STREET,,
545,0,10,AYRE,STREET,,
546,0,8,AYRE,STREET,,
547,0,6,AYRE,STREET,,
548,0,4,AYRE,STREET,,
549,0, ,HANOVER,STREET,,
550,0, ,HANOVER,STREET,,
551,0,10,AYRE,STREET,,
552,0, ,AYRE,STREET,SWIMMING POOL,
553,0, ,AYRE,STREET,PUBLIC WASH ROOM,
554,0,7,AYRE,STREET,,
555,0,5,AYRE,STREET,,
556,0,3,AYRE,STREET,,
557,0,17,AYRE,STREET,,
558,0, ,AYRE,STREET,,
559,0,24,GODFREY,STREET,,
560,0,22,GODFREY,STREET,,
561,0,20,GODFREY,STREET,,
562,0,30,HANOVER,STREET,,
563,0,32,HANOVER,STREET,,
564,0,34,HANOVER,STREET,,
565,0,36,HANOVER,STREET,,
566,0,38,HANOVER,STREET,,
567,0, ,HANOVER,STREET,,
568,0,109,HANOVER,STREET,,
569,0,117,HANOVER,STREET,,
570,0,115,HANOVER,STREET,,
571,0,121,HANOVER,STREET,,
572,0,125,HANOVER,STREET,,
573,0,128,HANOVER,STREET,,
574,0,102,HANOVER,STREET,,
575,0,104,HANOVER,STREET,,
576,0,106,HANOVER,STREET,,
577,0,108,HANOVER,STREET,,
578,0,110,HANOVER,STREET,,
579,0,112,HANOVER,STREET,,
580,0,114,HANOVER,STREET,,
581,0,116,HANOVER,STREET,,
582,0,118,HANOVER,STREET,,
583,0,120,HANOVER,STREET,,
584,0, ,TYNE,STREET,,
585,0,167,TYNE,STREET,,
586,0,19,TYNE,STREET,,
587,0,127,HANOVER,STREET,,
588,0,129,HANOVER,STREET,,
589,0,133,HANOVER,STREET,,
590,0,131,HANOVER,STREET,,
591,0,135,HANOVER,STREET,,
592,0,139,HANOVER,STREET,,
593,0,149,HANOVER,STREET,,
594,0,147,HANOVER,STREET,,
595,0,145,HANOVER,STREET,,
596,0,143,HANOVER,STREET,,
597,0,151,HANOVER,STREET,,
598,0,153,HANOVER,STREET,,
599,0,155,HANOVER,STREET,,
600,0, ,HANOVER,STREET,POST OFFICE,
601,0,163,HANOVER,STREET,,
602,0,165,HANOVER,STREET,,
603,0,167,HANOVER,STREET,,
604,0,169,HANOVER,STREET,,
605,0,171,HANOVER,STREET,,
606,0,173,HANOVER,STREET,,
607,0,175,HANOVER,STREET,,
608,0,177,HANOVER,STREET,,
609,0,179,HANOVER,STREET,,
610,0,181,HANOVER,STREET,,
611,0,183,HANOVER,STREET,,
612,0,124,HANOVER,STREET,,
613,0,126,HANOVER,STREET,,
614,0,128,HANOVER,STREET,,
615,0,130,HANOVER,STREET,,
616,0,136,HANOVER,STREET,,
617,0,138,HANOVER,STREET,,
618,0,140,HANOVER,STREET,,
619,0,142,HANOVER,STREET,,
620,0,144,HANOVER,STREET,,
621,0, ,HANOVER,STREET,SHOP,
622,0,232,,LANE,,
623,0, ,,LANE,,
624,0,1,LITTLE LESAR,STREET,,
625,0,2,LITTLE LESAR,STREET,,
626,0,3,LITTLE LESAR,STREET,,
627,0,4,LITTLE LESAR,STREET,,
628,0,5,LITTLE LESAR,STREET,,
629,0,8,ASPELING,STREET,,
630,0,10,ASPELING,STREET,,
631,0,12,ASPELING,STREET,,
632,0,14,ASPELING,STREET,,
633,0,16,ASPELING,STREET,,
634,0,18,ASPELING,STREET,,
635,0,20,ASPELING,STREET,,
636,0,22,ASPELING,STREET,,
637,0,24,ASPELING,STREET,,
638,0,30,ASPELING,STREET,,
639,0,42,ASPELING,STREET,,
640,0,46,ASPELING,STREET,,
641,0,48,ASPELING,STREET,,
642,0,50,ASPELING,STREET,,
643,0,52,ASPELING,STREET,,
644,0,54,ASPELING,STREET,,
645,0,56,ASPELING,STREET,,
646,0, ,ASPELING,STREET,CHURCH,
647,0,32,ASPELING,STREET,,
648,0,21,ASPELING,STREET,,
649,0,19,ASPELING,STREET,,
650,0, ,ASPELING,STREET,PRINTER,
651,0, ,VOGELZANG,STREET,CCC WASH HOUSE,
652,0, ,PONTAC,STREET,,
653,0, ,MUIR,STREET,,
654,0,4,PONTAC,STREET,,
655,0,6,PONTAC,STREET,,
656,0,8,PONTAC,STREET,,
657,0,16,LESAR,STREET,,
658,0, ,PONTAC,STREET,,
659,0, ,PONTAC,STREET,,
660,0, ,PONTAC,STREET,,
661,0,1,PONTAC,STREET,,
662,0,3,PONTAC,STREET,,
663,0,5,PONTAC,STREET,,
664,0,7,PONTAC,STREET,,
665,0,19,PONTAC,STREET,,
666,0,17,PONTAC,STREET,,
667,0,29,PONTAC,STREET,,
668,0, ,PONTAC,STREET,,
669,0, ,PONTAC,STREET,,
670,0, ,PONTAC,STREET,,
671,0, ,PONTAC,STREET,,
672,0,34,PONTAC,STREET,,
673,0,32,PONTAC,STREET,,
674,0, ,PONTAC,STREET,BAR AND BOTTLE STOOR,
675,0, ,PONTAC,STREET,,
676,0,11,JOHNSON,STREET,,
677,0,12,JOHNSON,STREET,,
678,0,14,JOHNSON,STREET,,
679,0,16,JOHNSON,STREET,,
680,0, ,REFORM,STREET,,
681,0,35,REFORM,STREET,,
682,0,37,REFORM,STREET,,
683,0,42,REFORM,STREET,,
684,0,44,REFORM,STREET,,
685,0,46,REFORM,STREET,,
686,0,48,REFORM,STREET,,
687,0,50,REFORM,STREET,,
688,0,52,REFORM,STREET,,
689,0,30,REFORM,STREET,,
690,0,17,LEE,STREET,,
691,0,2,HAMILTON,STREET,,
692,0,6,DE VILLIERS,STREET,,
693,0, ,,,,
694,0, ,,,,
695,0, ,,,,
696,0,4,HAMILTON,STREET,,
697,0, ,,,,
698,0,3,HAMILTON,STREET,,
699,0,4,DE VILLIERS,STREET,,
700,0,2,DE VILLIERS,STREET,SWAMPS,
701,0,40,WILLIAM,STREET,,
702,0,38,WILLIAM,STREET,,
703,0,47,DE KORTE,STREET,,
704,0,39,DE KORTE,STREET,,
705,0,37,DE KORTE,STREET,,
706,0,44,DE KORTE,STREET,,
707,0,45,DE KORTE,STREET,,
708,0,14,DE VILLIERS,STREET,,
709,0,12,DE VILLIERS,STREET,,
710,0,38,DE KORTE,STREET,,
711,0,36,DE KORTE,STREET,,
712,0,34,DE KORTE,STRREET,,
713,0,22,DE VILLIERS,STREET,,
