Street,ID,Match
COFFEE,vol16_050.tif-2,False
,vol16_050.tif-1,False
VRIENDE,vol16_320.tif-2,False
COFFEE,vol16_036.tif-3,False
REFORM,vol16_036.tif-2,True
SURREY,vol16_036.tif-1,False
CANTERBURY,vol16_036.tif-4,False
CHAMBERLAIN,vol16_381.tif-4,False
PLYMOUTH,vol16_381.tif-2,True
,vol16_381.tif-3,False
PLYMOUTH,vol16_381.tif-1,True
KLEIK,vol16_235.tif-2,False
,vol16_235.tif-3,False
STONE,vol16_235.tif-1,True
VIRGINIA,vol16_235.tif-4,True
OTTERY,vol16_323.tif-2,False
CORONATION,vol16_323.tif-3,False
SMART,vol16_323.tif-1,True
ECKARD,vol16_323.tif-4,True
DE VILLIERS,vol16_280.tif-4,True
,vol16_280.tif-2,False
DE VILLIERS,vol16_280.tif-3,True
PRIMROSE,vol16_280.tif-1,True
LOADER,vol16_202.tif-4,False
ROGER,vol16_202.tif-1,True
CONSTITUTION,vol16_202.tif-2,True
ASPELING,vol16_202.tif-3,True
WINDSOR,vol16_071.tif-1,True
LAVENDER HILL,vol16_071.tif-3,False
ROOS,vol16_115.tif-3,True
ROELAND,vol16_115.tif-2,True
PARKINS,vol16_115.tif-1,False
LAVENDER,vol16_115.tif-4,True
,vol16_117.tif-1,False
CANTERBURY,vol16_117.tif-3,False
CONSTITUTION,vol16_117.tif-2,True
DE VILLIERS,vol16_117.tif-4,True
NILE,vol16_077.tif-2,True
PEDERSEN,vol16_372.tif-2,True
,vol16_372.tif-3,False
LAVENDER,vol16_372.tif-4,True
QUEEN,vol16_372.tif-5,True
CALEDON,vol16_077.tif-1,True
RUSSELL,vol16_201.tif-3,True
COMBRINK,vol16_201.tif-2,True
NILE,vol16_201.tif-1,True
HANOVER,vol16_206.tif-1,True
PROSPECT,vol16_206.tif-2,True
,vol16_206.tif-3,False
SACKVILLE,vol16_206.tif-4,False
WILLIAM,vol16_134.tif-4,True
ECKARD,vol16_301.tif-4,True
WILLIAM,vol16_301.tif-2,True
STONE,vol16_134.tif-1,True
,vol16_134.tif-2,False
,vol16_301.tif-1,False
UPPER NELSON,vol16_203.tif-1,False
ROOS,vol16_203.tif-3,True
CHAPEL,vol16_203.tif-2,True
LEVER,vol16_203.tif-4,True
,vol16_078.tif-1,False
,vol16_078.tif-3,False
,vol16_078.tif-2,False
CANTEBURY,vol16_078.tif-4,False
GLYNN,vol16_341.tif-2,True
HOUT,vol16_341.tif-3,False
BLYTHE,vol16_341.tif-1,True
BLOEMHOF,vol16_341.tif-4,True
WILLIAM,vol16_194.tif-4,True
FIRST,vol16_194.tif-2,False
PARKIN,vol16_194.tif-3,True
ECKHARDT,vol16_194.tif-1,False
CALEDON,vol16_057.tif-4,True
CONSTITUTION,vol16_244.tif-4,True
BARRACK,vol16_244.tif-2,True
MARSDEN,vol16_057.tif-1,True
MOUNT,vol16_057.tif-2,True
SIR LOWRY,vol16_244.tif-1,True
MAPINE,vol16_157.tif-4,False
HORSBURG,vol16_157.tif-1,False
,vol16_157.tif-3,False
CONSTITUTION,vol16_157.tif-2,True
SIR LOWRY,vol16_139.tif-4,True
VREDE,vol16_139.tif-1,False
SPRINGFIELD,vol16_139.tif-3,True
SHEPHERD,vol16_139.tif-2,False
MOUNT,vol16_356.tif-4,True
RUTGER,vol16_356.tif-2,True
VOGELGEZANG,vol16_356.tif-3,False
NEWMARKET,vol16_356.tif-1,False
,vol16_333.tif-4,False
,vol16_170.tif-4,False
DE VILLIEN,vol16_170.tif-1,False
DE VILLIEN,vol16_170.tif-2,False
VANDELAUS,vol16_170.tif-3,False
ROELAND,vol16_178.tif-4,True
CONSTITUTION,vol16_178.tif-1,True
SMART,vol16_178.tif-2,True
STIRLING,vol16_121.tif-2,True
QUEEN,vol16_121.tif-3,True
RUSSELL,vol16_121.tif-1,True
,vol16_121.tif-4,False
HANOVER,vol16_030.tif-4,True
HANOVER,vol16_030.tif-1,True
HANOVER,vol16_030.tif-3,True
MAWSEN,vol16_030.tif-2,False
DE VILLIERS,vol16_219.tif-1,True
WILLIAM,vol16_219.tif-2,True
DE VILLIERS,vol16_219.tif-3,True
NEW CHURCH,vol16_219.tif-4,False
REFORM,vol16_158.tif-4,True
SIR LOWRY,vol16_158.tif-2,True
WILLIAM,vol16_158.tif-3,True
HORSTLEY,vol16_158.tif-1,True
GRAHAM,vol16_304.tif-4,False
GRAY,vol16_304.tif-3,True
RUSSELL,vol16_304.tif-2,True
VICTORIA,vol16_304.tif-1,False
SACKVILLE,vol16_275.tif-4,False
COLLEGE,vol16_275.tif-2,True
CONSTITUTION,vol16_275.tif-3,True
LEWIS,vol16_275.tif-1,True
WICHT,vol16_013.tif-4,True
BRUCE,vol16_013.tif-1,True
,vol16_013.tif-2,False
DEWAAL,vol16_013.tif-3,False
,vol16_143.tif-2,False
WILLIAM,vol16_143.tif-3,True
DUKE,vol16_143.tif-1,False
LONGMARKET,vol16_143.tif-4,True
LAVENDER,vol16_208.tif-4,True
DE VILLIERS,vol16_208.tif-2,True
RUTGER,vol16_208.tif-3,True
DE VILLIERS,vol16_208.tif-1,True
,vol16_105.tif-1,False
SMART,vol16_105.tif-2,True
GRAND VIEW,vol16_199.tif-4,False
RUSSELL,vol16_105.tif-4,True
HORSTLEY,vol16_199.tif-2,True
SPRINGFIELD,vol16_199.tif-1,True
NEWMARKET,vol16_136.tif-4,False
SACKVILLE,vol16_136.tif-2,False
NEWMARKET,vol16_136.tif-3,False
ROOS,vol16_136.tif-1,True
DE VILLIERS,vol16_175.tif-4,True
WILLIAMS,vol16_175.tif-1,False
CONSTITUTION,vol16_175.tif-3,True
BRUCE,vol16_175.tif-2,True
SHULKERIS,vol16_241.tif-4,False
HAMERKOPWY,vol16_241.tif-3,False
RUSSELL,vol16_241.tif-2,True
,vol16_241.tif-1,False
FIRST,vol16_097.tif-1,False
,vol16_040.tif-1,False
DEVILLIERS,vol16_040.tif-2,False
WORCESTER,vol16_040.tif-3,True
LESER,vol16_040.tif-4,False
SHEPPARD,vol16_097.tif-4,True
COFFEE,vol16_055.tif-4,False
TENNANT,vol16_055.tif-2,True
COFFEE,vol16_055.tif-3,False
TENNANT,vol16_055.tif-1,True
TEMATON ROAD,vol16_038.tif-4,False
COFFEE,vol16_038.tif-1,False
,vol16_038.tif-3,False
CONSTITUTION,vol16_038.tif-2,True
,vol16_299.tif-1,False
REFORM,vol16_299.tif-2,True
HORSTLEY,vol16_299.tif-3,True
SACKVILLE,vol16_299.tif-4,False
