OBJECTID,Id,StrNo,StrName,StrType,Unresolved,Address
519,0,142,HANOVER,STREET,,142 HANOVER
520,0,144,HANOVER,STREET,,144 HANOVER
521,0,232,,LANE,,232 
522,0,1,LITTLE LESAR,STREET,,1 LITTLE LESAR
523,0,2,LITTLE LESAR,STREET,,2 LITTLE LESAR
524,0,3,LITTLE LESAR,STREET,,3 LITTLE LESAR
525,0,4,LITTLE LESAR,STREET,,4 LITTLE LESAR
526,0,5,LITTLE LESAR,STREET,,5 LITTLE LESAR
527,0,8,ASPELING,STREET,,8 ASPELING
528,0,10,ASPELING,STREET,,10 ASPELING
529,0,12,ASPELING,STREET,,12 ASPELING
